from,to,is_immune
prostate gland microvascular endothelial cell,endothelial,FALSE
indirect pathway medium spiny neuron,neuron,FALSE
direct pathway medium spiny neuron,neuron,FALSE
epithelial cell of proximal tubule segment 3,epithelial,FALSE
skeletal muscle satellite cell,muscle,FALSE
L5/6 near-projecting glutamatergic neuron,neuron,FALSE
respiratory epithelial cell,epithelial,FALSE
type N enteroendocrine cell,endocrine,FALSE
skeletal muscle fiber,muscle,FALSE
vascular lymphangioblast,progenitor,FALSE
progenitor cell of mammary luminal epithelium,epithelial,FALSE
hair follicular keratinocyte,epidermal,FALSE
cerebellar granule cell precursor,progenitor,FALSE
unipolar brush cell,secretory,FALSE
anterior lens cell,lens,FALSE
stromal cell of endometrium,stromal,FALSE
CNS interneuron,neuron,FALSE
transit amplifying cell of small intestine,progenitor,FALSE
centroblast,immune,FALSE
tongue muscle cell,muscle,FALSE
pigmented ciliary epithelial cell,epithelial,FALSE
pulmonary interstitial fibroblast,stromal,FALSE
hepatoblast,progenitor,FALSE
sebum secreting cell,fat,FALSE
epithelial cell of uterus,epithelial,FALSE
microfold cell of epithelium of small intestine,epithelial,FALSE
dopaminergic neuron,neuron,FALSE
connective tissue cell,stromal,FALSE
myometrial cell,muscle,FALSE
kidney collecting duct cell,renal,FALSE
Schwann cell precursor,glial,FALSE
type A enteroendocrine cell,endocrine,FALSE
dermis microvascular lymphatic vessel endothelial cell,endothelial,FALSE
intestinal crypt stem cell of large intestine,progenitor,FALSE
type B pancreatic cell,endocrine,FALSE
kidney loop of Henle thick ascending limb epithelial cell,epithelial,FALSE
mesangial cell,renal,FALSE
pancreatic stellate cell,stromal,FALSE
stem cell,progenitor,FALSE
cardiac muscle cell,muscle,FALSE
astrocyte,glial,FALSE
multi-ciliated epithelial cell,epithelial,FALSE
bronchial goblet cell,secretory,FALSE
mucus secreting cell,secretory,FALSE
luminal hormone-sensing cell of mammary gland,endocrine,FALSE
placental villous trophoblast,progenitor,FALSE
perivascular cell,pericyte,FALSE
epithelial cell of proximal tubule,epithelial,FALSE
M cell of gut,epithelial,FALSE
glial cell,glial,FALSE
adventitial cell,stromal,FALSE
alveolar type 2 fibroblast cell,progenitor,FALSE
hepatocyte,liver,FALSE
brush cell,secretory,FALSE
endothelial cell of periportal hepatic sinusoid,endothelial,FALSE
differentiation-committed oligodendrocyte precursor,glial,FALSE
kidney interstitial cell,stromal,FALSE
kidney collecting duct intercalated cell,renal,FALSE
hepatic pit cell,immune,FALSE
retinal ganglion cell,neuron,FALSE
neural progenitor cell,neuron,FALSE
airway submucosal gland duct basal cell,epithelial,FALSE
blood vessel smooth muscle cell,muscle,FALSE
respiratory suprabasal cell,epithelial,FALSE
hematopoietic cell,immune,FALSE
glycinergic amacrine cell,neuron,FALSE
pancreatic epsilon cell,endocrine,FALSE
tracheobronchial serous cell,epithelial,FALSE
intrahepatic cholangiocyte,epithelial,FALSE
muscle precursor cell,muscle,FALSE
tracheobronchial goblet cell,secretory,FALSE
intestinal crypt stem cell,progenitor,FALSE
intestinal tuft cell,epithelial,FALSE
luminal cell of prostate epithelium,epithelial,FALSE
L6 corticothalamic-projecting glutamatergic cortical neuron,neuron,FALSE
decidual cell,reproductive,FALSE
neuron associated cell,neuron,FALSE
lactocyte,epithelial,FALSE
epithelial cell of prostate,epithelial,FALSE
epithelial cell of exocrine pancreas,epithelial,FALSE
chandelier cell,neuron,FALSE
ciliary muscle cell,muscle,FALSE
regular atrial cardiac myocyte,muscle,FALSE
paneth cell of epithelium of small intestine,epithelial,FALSE
reticulocyte,blood,FALSE
epithelial cell of sweat gland,epithelial,FALSE
kidney connecting tubule principal cell,renal,FALSE
chorionic trophoblast cell,progenitor,FALSE
myoblast,muscle,FALSE
glomerular capillary endothelial cell,endothelial,FALSE
large intestine goblet cell,secretory,FALSE
erythroid lineage cell,blood,FALSE
fibroblast of cardiac tissue,stromal,FALSE
pancreatic A cell,endocrine,FALSE
melanocyte,epidermal,FALSE
cardiac endothelial cell,endothelial,FALSE
enterocyte,epithelial,FALSE
lymphocyte,immune,FALSE
pericyte,pericyte,FALSE
oligodendrocyte,glial,FALSE
leukocyte,immune,FALSE
adipocyte,fat,FALSE
corticothalamic-projecting glutamatergic cortical neuron,neuron,FALSE
vascular leptomeningeal cell,pericyte,FALSE
L6b glutamatergic cortical neuron,neuron,FALSE
cerebral cortex endothelial cell,endothelial,FALSE
respiratory basal cell,epithelial,FALSE
luminal epithelial cell of mammary gland,epithelial,FALSE
extravillous trophoblast,progenitor,FALSE
endothelial cell of artery,endothelial,FALSE
enterocyte of colon,epithelial,FALSE
pulmonary artery endothelial cell,endothelial,FALSE
cholangiocyte,epithelial,FALSE
epithelial cell of lung,epithelial,FALSE
uterine smooth muscle cell,muscle,FALSE
alveolar type 1 fibroblast cell,progenitor,FALSE
preadipocyte,fat,FALSE
acinar cell,secretory,FALSE
enteric neuron,neuron,FALSE
peptic cell,secretory,FALSE
Schwann cell,glial,FALSE
inhibitory interneuron,neuron,FALSE
Mueller cell,glial,FALSE
myoepithelial cell,myoepithelial,FALSE
interstitial cell of Cajal,stromal,FALSE
brush cell of trachebronchial tree,secretory,FALSE
epithelial cell of thymus,epithelial,FALSE
deuterosomal cell,epithelial,FALSE
peripheral nervous system neuron,neuron,FALSE
parasol ganglion cell of retina,neuron,FALSE
professional antigen presenting cell,immune,FALSE
bipolar neuron,neuron,FALSE
precursor cell,progenitor,FALSE
neural crest cell,neuron,FALSE
neuronal brush cell,secretory,FALSE
epithelial cell of urethra,epithelial,FALSE
medium spiny neuron,neuron,FALSE
meningeal macrophage,macrophage,TRUE
follicular dendritic cell,immune,FALSE
trophoblast giant cell,progenitor,FALSE
sympathetic neuron,neuron,FALSE
noradrenergic cell,neuron,FALSE
vasa recta ascending limb cell,renal,FALSE
ovarian surface epithelial cell,epithelial,FALSE
brainstem motor neuron,neuron,FALSE
"BEST4+ intestinal epithelial cell, human",epithelial,FALSE
centrocyte,immune,FALSE
duodenum glandular cell,epithelial,FALSE
ileal goblet cell,secretory,FALSE
non-pigmented ciliary epithelial cell,epithelial,FALSE
epidermal cell,epidermal,FALSE
kidney pelvis urothelial cell,epithelial,FALSE
epithelial cell,epithelial,FALSE
megakaryocyte,blood,FALSE
fibroblast,progenitor,FALSE
enteric smooth muscle cell,muscle,FALSE
gut endothelial cell,endothelial,FALSE
intestine goblet cell,secretory,FALSE
astrocyte of the cerebral cortex,glial,FALSE
ciliated columnar cell of tracheobronchial tree,epithelial,FALSE
renal principal cell,renal,FALSE
malignant cell,other,FALSE
lung pericyte,pericyte,FALSE
neoplastic cell,other,FALSE
glandular epithelial cell,epithelial,FALSE
keratinocyte,epidermal,FALSE
epithelial cell of lower respiratory tract,epithelial,FALSE
taste receptor cell,sensory,FALSE
syncytiotrophoblast cell,progenitor,FALSE
fetal cardiomyocyte,muscle,FALSE
enteroendocrine cell of colon,endocrine,FALSE
smooth muscle cell,muscle,FALSE
kidney interstitial fibroblast,stromal,FALSE
germ cell,reproductive,FALSE
macroglial cell,glial,FALSE
respiratory hillock cell,epithelial,FALSE
primary sensory neuron (sensu Teleostei),neuron,FALSE
photoreceptor cell,neuron,FALSE
epithelial cell of alveolus of lung,epithelial,FALSE
pancreatic PP cell,endocrine,FALSE
fast muscle cell,muscle,FALSE
neuroendocrine cell,endocrine,FALSE
megakaryocyte progenitor cell,blood,FALSE
regular ventricular cardiac myocyte,muscle,FALSE
Sertoli cell,reproductive,FALSE
rod bipolar cell,neuron,FALSE
diffuse bipolar 4 cell,neuron,FALSE
flat midget bipolar cell,neuron,FALSE
midget ganglion cell of retina,neuron,FALSE
pulmonary ionocyte,secretory,FALSE
Bergmann glial cell,glial,FALSE
bladder urothelial cell,epithelial,FALSE
endosteal cell,bone,FALSE
melanocyte of skin,epidermal,FALSE
cone retinal bipolar cell,neuron,FALSE
neuron associated cell (sensu Vertebrata),neuron,FALSE
granule cell,neuron,FALSE
non-myelinating Schwann cell,glial,FALSE
renal intercalated cell,renal,FALSE
salivary gland cell,epithelial,FALSE
sensory neuron,neuron,FALSE
collagen secreting cell,stromal,FALSE
immature astrocyte,glial,FALSE
cerebral cortex GABAergic interneuron,neuron,FALSE
pigmented epithelial cell,epithelial,FALSE
columnar/cuboidal epithelial cell,epithelial,FALSE
immature Schwann cell,glial,FALSE
kidney distal convoluted tubule epithelial cell,epithelial,FALSE
basal cell of epidermis,epithelial,FALSE
mural cell,pericyte,FALSE
myofibroblast cell,stromal,FALSE
foveolar cell of stomach,epithelial,FALSE
myeloid cell,immune,FALSE
microglial cell,glial,FALSE
pvalb GABAergic cortical interneuron,neuron,FALSE
near-projecting glutamatergic cortical neuron,neuron,FALSE
endothelial cell of placenta,endothelial,FALSE
absorptive cell,epithelial,FALSE
type II pneumocyte,pneumocyte,FALSE
type L enteroendocrine cell,endocrine,FALSE
cerebellar granule cell,neuron,FALSE
kidney loop of Henle thin ascending limb epithelial cell,epithelial,FALSE
retinal pigment epithelial cell,epithelial,FALSE
midzonal region hepatocyte,liver,FALSE
centrilobular region hepatocyte,liver,FALSE
stromal cell of ovary,stromal,FALSE
tracheobronchial smooth muscle cell,muscle,FALSE
renal alpha-intercalated cell,renal,FALSE
basal epithelial cell of tracheobronchial tree,epithelial,FALSE
colon goblet cell,secretory,FALSE
P/D1 enteroendocrine cell,endocrine,FALSE
granulosa cell,reproductive,FALSE
fibro/adipogenic progenitor cell,progenitor,FALSE
forebrain neuroblast,progenitor,FALSE
radial glial cell,glial,FALSE
interneuron,neuron,FALSE
bronchial smooth muscle cell,muscle,FALSE
lung neuroendocrine cell,endocrine,FALSE
lung goblet cell,secretory,FALSE
medullary thymic epithelial cell,epithelial,FALSE
small intestine goblet cell,secretory,FALSE
H1 horizontal cell,neuron,FALSE
giant bipolar cell,neuron,FALSE
OFFx cell,neuron,FALSE
hepatic stellate cell,liver,FALSE
neuronal receptor cell,sensory,FALSE
epithelial cell of proximal tubule segment 1,epithelial,FALSE
lens fiber cell,lens,FALSE
basal cell of prostate epithelium,epithelial,FALSE
Cajal-Retzius cell,neuron,FALSE
corneal endothelial cell,endothelial,FALSE
glioblast,glial,FALSE
smooth muscle cell of prostate,muscle,FALSE
secondary lens fiber,lens,FALSE
sst chodl GABAergic cortical interneuron,neuron,FALSE
pancreatic endocrine cell,endocrine,FALSE
paneth cell of colon,secretory,FALSE
myelinating Schwann cell,glial,FALSE
primary cultured cell,other,FALSE
prostate stromal cell,stromal,FALSE
epidermal Langerhans cell,immune,FALSE
primordial germ cell,reproductive,FALSE
endothelial cell of vascular tree,endothelial,FALSE
epithelial cell of esophagus,epithelial,FALSE
mesothelial cell,mesothelial,FALSE
vein endothelial cell,endothelial,FALSE
sst GABAergic cortical interneuron,neuron,FALSE
caudal ganglionic eminence derived GABAergic cortical interneuron,neuron,FALSE
sncg GABAergic cortical interneuron,neuron,FALSE
luminal adaptive secretory precursor cell of mammary gland,progenitor,FALSE
myoepithelial cell of mammary gland,myoepithelial,FALSE
fibroblast of mammary gland,stromal,FALSE
kidney connecting tubule epithelial cell,epithelial,FALSE
intestinal enteroendocrine cell,endocrine,FALSE
type I pneumocyte,pneumocyte,FALSE
endothelial cell of hepatic sinusoid,endothelial,FALSE
glutamatergic neuron,neuron,FALSE
ciliated cell,epithelial,FALSE
secretory cell,secretory,FALSE
stratified epithelial cell,epithelial,FALSE
skin fibroblast,stromal,FALSE
type G enteroendocrine cell,endocrine,FALSE
myelocyte,immune,FALSE
chromaffin cell,endocrine,FALSE
reticular cell,immune,FALSE
renal interstitial pericyte,renal,FALSE
basal cell of epithelium of trachea,epithelial,FALSE
amacrine cell,neuron,FALSE
